 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,Circ.,Skew,AR,Round,Solidity
2463,g77_skel.tif,1281.578,255,0,255,255,255,1786.951,1021.511,1786.951,1021.511,154.611,0.674,NaN,2.208,0.453,0.928
2464,g77_skel.tif,15.903,255,0,255,255,255,1985.498,1000.121,1985.498,1000.121,14.320,0.975,NaN,1.391,0.719,0.938
2465,g77_skel.tif,4157.101,255,0,255,255,255,1367.533,1038.226,1367.533,1038.226,284.685,0.645,NaN,1.299,0.770,0.932
2466,g77_skel.tif,484.605,255,0,255,255,255,1686.050,1014.793,1686.050,1014.793,90.226,0.748,NaN,1.269,0.788,0.912
2467,g77_skel.tif,878.590,255,0,255,255,255,590.923,1016.277,590.923,1016.277,119.696,0.771,NaN,1.217,0.822,0.935
2468,g77_skel.tif,494.507,255,0,255,255,255,1083.152,1010.075,1083.152,1010.075,95.250,0.685,NaN,1.930,0.518,0.915
2469,g77_skel.tif,493.607,255,0,255,255,255,1811.820,1017.111,1811.820,1017.111,104.225,0.571,NaN,2.199,0.455,0.839
2470,g77_skel.tif,408.088,255,0,255,255,255,791.441,1014.590,791.441,1014.590,83.065,0.743,NaN,1.359,0.736,0.902
2471,g77_skel.tif,2981.146,255,0,255,255,255,855.231,1034.103,855.231,1034.103,228.037,0.720,NaN,1.156,0.865,0.906
2472,g77_skel.tif,220.548,255,0,255,255,255,1308.318,1011.883,1308.318,1011.883,61.718,0.728,NaN,1.286,0.778,0.915
2473,g77_skel.tif,328.571,255,0,255,255,255,1733.301,1013.748,1733.301,1013.748,72.133,0.794,NaN,1.052,0.950,0.926
2474,g77_skel.tif,844.383,255,0,255,255,255,899.597,1024.636,899.597,1024.636,118.123,0.760,NaN,1.363,0.734,0.956
2475,g77_skel.tif,356.177,255,0,255,255,255,1831.469,1013.591,1831.469,1013.591,77.776,0.740,NaN,1.481,0.675,0.898
2476,g77_skel.tif,459.100,255,0,255,255,255,746.498,1021.255,746.498,1021.255,90.780,0.700,NaN,1.600,0.625,0.940
2477,g77_skel.tif,158.134,255,0,255,255,255,1484.908,1014.518,1484.908,1014.518,52.202,0.729,NaN,1.587,0.630,0.899
2478,g77_skel.tif,670.345,255,0,255,255,255,1856.908,1017.970,1856.908,1017.970,103.317,0.789,NaN,1.103,0.907,0.923
2479,g77_skel.tif,328.871,255,0,255,255,255,439.725,1014.744,439.725,1014.744,70.428,0.833,NaN,1.147,0.872,0.950
2480,g77_skel.tif,480.704,255,0,255,255,255,923.456,1019.245,923.456,1019.245,101.424,0.587,NaN,1.320,0.757,0.797
2481,g77_skel.tif,200.143,255,0,255,255,255,938.584,1014.391,938.584,1014.391,57.203,0.769,NaN,1.828,0.547,0.951
2482,g77_skel.tif,568.923,255,0,255,255,255,1916.078,1020.817,1916.078,1020.817,96.478,0.768,NaN,1.245,0.803,0.927
2483,g77_skel.tif,402.087,255,0,255,255,255,1225.456,1016.016,1225.456,1016.016,79.059,0.808,NaN,1.311,0.763,0.945
2484,g77_skel.tif,3676.397,255,0,255,255,255,972.267,1038.261,972.267,1038.261,255.027,0.710,NaN,1.198,0.835,0.932
2485,g77_skel.tif,477.704,255,0,255,255,255,1190.271,1016.187,1190.271,1016.187,98.591,0.618,NaN,2.842,0.352,0.941
2486,g77_skel.tif,879.791,255,0,255,255,255,1896.096,1034.416,1896.096,1034.416,132.732,0.628,NaN,2.211,0.452,0.880
2487,g77_skel.tif,3307.017,255,0,255,255,255,1028.147,1045.906,1028.147,1045.906,270.810,0.567,NaN,1.384,0.722,0.876
2488,g77_skel.tif,245.153,255,0,255,255,255,1541.694,1016.539,1541.694,1016.539,61.475,0.815,NaN,1.347,0.743,0.941
2489,g77_skel.tif,444.396,255,0,255,255,255,771.941,1025.532,771.941,1025.532,85.435,0.765,NaN,1.540,0.649,0.945
2490,g77_skel.tif,693.150,255,0,255,255,255,682.136,1033.793,682.136,1033.793,121.534,0.590,NaN,2.105,0.475,0.890
2491,g77_skel.tif,1038.825,255,0,255,255,255,1660.207,1034.056,1660.207,1034.056,142.006,0.647,NaN,1.996,0.501,0.890
2492,g77_skel.tif,214.847,255,0,255,255,255,1505.158,1017.865,1505.158,1017.865,58.000,0.803,NaN,1.541,0.649,0.938
2493,g77_skel.tif,87.919,255,0,255,255,255,1953.045,1018.169,1953.045,1018.169,46.724,0.506,NaN,3.785,0.264,0.783
2494,g77_skel.tif,764.266,255,0,255,255,255,727.273,1032.887,727.273,1032.887,117.958,0.690,NaN,1.701,0.588,0.923
2495,g77_skel.tif,143.731,255,0,255,255,255,1163.202,1018.120,1163.202,1018.120,46.302,0.842,NaN,1.161,0.861,0.949
2496,g77_skel.tif,1926.117,255,0,255,255,255,1113.527,1042.243,1113.527,1042.243,196.509,0.627,NaN,1.898,0.527,0.888
2497,g77_skel.tif,134.729,255,0,255,255,255,1407.640,1018.832,1407.640,1018.832,48.516,0.719,NaN,1.711,0.585,0.901
2498,g77_skel.tif,1106.340,255,0,255,255,255,1572.520,1030.390,1572.520,1030.390,142.835,0.681,NaN,1.218,0.821,0.886
2499,g77_skel.tif,1632.954,255,0,255,255,255,1432.072,1041.274,1432.072,1041.274,167.703,0.730,NaN,1.617,0.619,0.920
2500,g77_skel.tif,275.760,255,0,255,255,255,477.937,1022.049,477.937,1022.049,65.193,0.815,NaN,1.333,0.750,0.946
2501,g77_skel.tif,854.885,255,0,255,255,255,526.397,1036.966,526.397,1036.966,125.705,0.680,NaN,1.750,0.571,0.921
2502,g77_skel.tif,706.053,255,0,255,255,255,1305.409,1029.982,1305.409,1029.982,112.613,0.700,NaN,1.770,0.565,0.892
2503,g77_skel.tif,360.678,255,0,255,255,255,417.521,1024.855,417.521,1024.855,76.194,0.781,NaN,1.676,0.597,0.927
2504,g77_skel.tif,927.201,255,0,255,255,255,552.467,1034.909,552.467,1034.909,132.975,0.659,NaN,1.984,0.504,0.939
2505,g77_skel.tif,697.651,255,0,255,255,255,1750.844,1036.328,1750.844,1036.328,120.516,0.604,NaN,2.285,0.438,0.880
2506,g77_skel.tif,446.197,255,0,255,255,255,1210.392,1032.057,1210.392,1032.057,85.224,0.772,NaN,1.471,0.680,0.936
2507,g77_skel.tif,431.193,255,0,255,255,255,456.309,1028.989,456.309,1028.989,82.158,0.803,NaN,1.042,0.960,0.940
2508,g77_skel.tif,681.448,255,0,255,255,255,1496.632,1036.724,1496.632,1036.724,107.887,0.736,NaN,1.123,0.890,0.914
2509,g77_skel.tif,312.668,255,0,255,255,255,1876.328,1029.833,1876.328,1029.833,71.711,0.764,NaN,1.486,0.673,0.944
2510,g77_skel.tif,314.468,255,0,255,255,255,1602.413,1029.930,1602.413,1029.930,69.708,0.813,NaN,1.511,0.662,0.956
2511,g77_skel.tif,1184.657,255,0,255,255,255,1070.793,1041.559,1070.793,1041.559,141.653,0.742,NaN,1.605,0.623,0.942
2512,g77_skel.tif,628.636,255,0,255,255,255,611.086,1034.081,611.086,1034.081,105.320,0.712,NaN,1.910,0.524,0.934
2513,g77_skel.tif,141.931,255,0,255,255,255,1136.948,1026.391,1136.948,1026.391,50.740,0.693,NaN,1.243,0.805,0.888
2514,g77_skel.tif,504.409,255,0,255,255,255,1155.265,1035.374,1155.265,1035.374,89.052,0.799,NaN,1.232,0.812,0.940
2515,g77_skel.tif,691.350,255,0,255,255,255,1466.526,1036.000,1466.526,1036.000,112.325,0.689,NaN,1.428,0.700,0.882
2516,g77_skel.tif,2404.121,255,0,255,255,255,1533.081,1051.759,1533.081,1051.759,232.341,0.560,NaN,1.335,0.749,0.897
2517,g77_skel.tif,271.859,255,0,255,255,255,1713.721,1028.202,1713.721,1028.202,67.672,0.746,NaN,1.380,0.725,0.955
2518,g77_skel.tif,850.684,255,0,255,255,255,1776.489,1044.499,1776.489,1044.499,130.963,0.623,NaN,2.320,0.431,0.916
2519,g77_skel.tif,405.688,255,0,255,255,255,705.462,1033.471,705.462,1033.471,81.360,0.770,NaN,1.248,0.801,0.952
2520,g77_skel.tif,191.441,255,0,255,255,255,1695.115,1033.495,1695.115,1033.495,57.602,0.725,NaN,1.308,0.765,0.885
2521,g77_skel.tif,1911.714,255,0,255,255,255,1185.763,1051.721,1185.763,1051.721,183.893,0.710,NaN,1.198,0.835,0.912
2522,g77_skel.tif,406.888,255,0,255,255,255,1725.511,1040.218,1725.511,1040.218,85.999,0.691,NaN,1.724,0.580,0.891
2523,g77_skel.tif,1750.579,255,0,255,255,255,804.879,1060.475,804.879,1060.475,185.585,0.639,NaN,2.031,0.492,0.891
2524,g77_skel.tif,506.210,255,0,255,255,255,1681.709,1045.899,1681.709,1045.899,102.598,0.604,NaN,2.267,0.441,0.883
2525,g77_skel.tif,256.856,255,0,255,255,255,1838.426,1035.422,1838.426,1035.422,61.796,0.845,NaN,1.442,0.694,0.950
2526,g77_skel.tif,368.780,255,0,255,255,255,429.868,1036.893,429.868,1036.893,76.648,0.789,NaN,1.804,0.554,0.939
2527,g77_skel.tif,582.126,255,0,255,255,255,579.588,1040.949,579.588,1040.949,100.773,0.720,NaN,1.233,0.811,0.909
2528,g77_skel.tif,379.582,255,0,255,255,255,1284.259,1041.876,1284.259,1041.876,81.805,0.713,NaN,1.934,0.517,0.929
2529,g77_skel.tif,846.784,255,0,255,255,255,782.535,1048.006,782.535,1048.006,128.937,0.640,NaN,2.150,0.465,0.921
2530,g77_skel.tif,271.559,255,0,255,255,255,631.926,1037.691,631.926,1037.691,69.731,0.702,NaN,1.332,0.750,0.892
2531,g77_skel.tif,179.739,255,0,255,255,255,651.123,1035.966,651.123,1035.966,54.104,0.772,NaN,1.291,0.774,0.935
2532,g77_skel.tif,1087.736,255,0,255,255,255,1230.348,1051.600,1230.348,1051.600,139.361,0.704,NaN,1.597,0.626,0.894
2533,g77_skel.tif,388.284,255,0,255,255,255,1407.126,1043.756,1407.126,1043.756,82.877,0.710,NaN,1.268,0.789,0.921
2534,g77_skel.tif,423.092,255,0,255,255,255,479.793,1041.202,479.793,1041.202,81.195,0.806,NaN,1.070,0.935,0.952
2535,g77_skel.tif,496.608,255,0,255,255,255,1820.537,1042.432,1820.537,1042.432,89.318,0.782,NaN,1.235,0.810,0.915
2536,g77_skel.tif,333.672,255,0,255,255,255,927.386,1039.964,927.386,1039.964,73.128,0.784,NaN,1.382,0.723,0.958
2537,g77_skel.tif,1372.497,255,0,255,255,255,749.132,1058.066,749.132,1058.066,152.365,0.743,NaN,1.447,0.691,0.934
2538,g77_skel.tif,138.630,255,0,255,255,255,1138.443,1041.548,1138.443,1041.548,58.885,0.502,NaN,1.392,0.719,0.866
2539,g77_skel.tif,435.394,255,0,255,255,255,1854.864,1045.337,1854.864,1045.337,82.933,0.796,NaN,1.238,0.808,0.918
2540,g77_skel.tif,718.956,255,0,255,255,255,1702.923,1055.410,1702.923,1055.410,115.923,0.672,NaN,1.560,0.641,0.868
2541,g77_skel.tif,500.508,255,0,255,255,255,1589.330,1049.719,1589.330,1049.719,90.491,0.768,NaN,1.302,0.768,0.908
2542,g77_skel.tif,726.758,255,0,255,255,255,1638.623,1052.086,1638.623,1052.086,106.682,0.802,NaN,1.220,0.820,0.943
2543,g77_skel.tif,411.689,255,0,255,255,255,442.147,1050.536,442.147,1050.536,78.385,0.842,NaN,1.298,0.771,0.948
2544,g77_skel.tif,261.357,255,0,255,255,255,1326.899,1049.548,1326.899,1049.548,64.285,0.795,NaN,1.875,0.533,0.970
2545,g77_skel.tif,210.346,255,0,255,255,255,462.703,1048.384,462.703,1048.384,59.582,0.745,NaN,1.297,0.771,0.924
2546,g77_skel.tif,205.545,255,0,255,255,255,640.612,1048.956,640.612,1048.956,58.376,0.758,NaN,1.392,0.718,0.895
2547,g77_skel.tif,322.270,255,0,255,255,255,497.807,1050.725,497.807,1050.725,70.615,0.812,NaN,1.270,0.787,0.943
2548,g77_skel.tif,926.901,255,0,255,255,255,1746.059,1063.490,1746.059,1063.490,131.472,0.674,NaN,1.968,0.508,0.910
2549,g77_skel.tif,316.869,255,0,255,255,255,1877.723,1050.793,1877.723,1050.793,79.779,0.626,NaN,1.722,0.581,0.836
2550,g77_skel.tif,1728.975,255,0,255,255,255,920.665,1073.400,920.665,1073.400,185.310,0.633,NaN,1.532,0.653,0.840
2551,g77_skel.tif,257.456,255,0,255,255,255,1611.937,1051.942,1611.937,1051.942,63.776,0.795,NaN,1.239,0.807,0.947
2552,g77_skel.tif,994.416,255,0,255,255,255,1305.013,1061.016,1305.013,1061.016,129.579,0.744,NaN,1.349,0.741,0.921
2553,g77_skel.tif,850.384,255,0,255,255,255,892.917,1061.229,892.917,1061.229,117.184,0.778,NaN,1.416,0.706,0.941
2554,g77_skel.tif,752.263,255,0,255,255,255,566.734,1064.798,566.734,1064.798,114.451,0.722,NaN,1.622,0.616,0.935
2555,g77_skel.tif,1784.487,255,0,255,255,255,679.686,1075.027,679.686,1075.027,213.198,0.493,NaN,3.087,0.324,0.874
2556,g77_skel.tif,1269.275,255,0,255,255,255,1091.425,1069.197,1091.425,1069.197,145.847,0.750,NaN,1.083,0.924,0.937
